;; Original version courtesy of University of Pittsburgh opin@cs.pitts.edu
;; released under GNU LESSER GENERAL PUBLIC LICENSE
;; Version 2.1, February 1999
;; remove this license header to use in Sigma (http://sigmakee.sourceforge.net)

"type","word","POS","stemmed","polarity",,
"weak","abandoned","adj","n","negative",,
"weak","abandonment","noun","n","negative",,
"weak","abandon","verb","y","negative",,
"strong","abase","verb","y","negative",,
"strong","abasement","anypos","y","negative",,
"strong","abash","verb","y","negative",,
"weak","abate","verb","y","negative",,
"weak","abdicate","verb","y","negative",,
"strong","aberration","adj","n","negative",,
"strong","aberration","noun","n","negative",,
"strong","abhor","anypos","y","negative",,
"strong","abhor","verb","y","negative",,
"strong","abhorred","adj","n","negative",,
"strong","abhorrence","noun","n","negative",,
"strong","abhorrent","adj","n","negative",,
"strong","abhorrently","anypos","n","negative",,
"strong","abhors","adj","n","negative",,
"strong","abhors","noun","n","negative",,
"strong","abidance","adj","n","positive",,
"strong","abidance","noun","n","positive",,
"strong","abide","anypos","y","positive",,
"strong","abject","adj","n","negative",,
"strong","abjectly","adverb","n","negative",,
"weak","abjure","verb","y","negative",,
"weak","abilities","noun","n","positive",,
"weak","ability","noun","n","positive",,
"weak","able","adj","n","positive",,
"weak","abnormal","adj","n","negative",,
"weak","abolish","verb","y","negative",,
"strong","abominable","adj","n","negative",,
"strong","abominably","anypos","n","negative",,
"strong","abominate","verb","y","negative",,
"strong","abomination","noun","n","negative",,
"weak","above","anypos","n","positive",,
"weak","above-average","adj","n","positive",,
"weak","abound","verb","y","positive",,
"weak","abrade","verb","y","negative",,
"strong","abrasive","adj","n","negative",,
"weak","abrupt","adj","n","negative",,
"strong","abscond","verb","y","negative",,
"weak","absence","noun","n","negative",,
"weak","absentee","anypos","y","negative",,
"strong","absent-minded","adj","n","negative",,
"strong","absolve","verb","y","positive",,
"strong","absolute","adj","n","neutral",,
"strong","absolutely","adj","n","neutral",,
"weak","absorbed","verb","n","neutral",,
"strong","absurd","adj","n","negative",,
"strong","absurdity","noun","n","negative",,
"strong","absurdly","anypos","n","negative",,
"strong","absurdness","noun","n","negative",,
"weak","abundant","adj","n","positive",,
"weak","abundance","noun","n","positive",,
"weak","abuse","adj","n","negative",,
"weak","abuse","noun","n","negative",,
"strong","abuse","verb","y","negative",,
"weak","abuses","adj","n","negative",,
"weak","abuses","noun","n","negative",,
"strong","abusive","adj","n","negative",,
"strong","abysmal","adj","n","negative",,
"strong","abysmally","anypos","n","negative",,
"strong","abyss","noun","n","negative",,
"strong","accede","verb","y","positive",,
"strong","accentuate","verb","y","neutral",,
"weak","accept","verb","y","positive",,
"weak","acceptance","noun","n","positive",,
"weak","acceptable","adj","n","positive",,
"weak","accessible","adj","n","positive",,
"weak","accidental","adj","n","negative",,
"strong","acclaim","noun","n","positive",,
"strong","acclaim","verb","y","positive",,
"strong","acclaimed","adj","n","positive",,
"strong","acclamation","anypos","y","positive",,
"strong","accolade","noun","n","positive",,
"strong","accolades","noun","n","positive",,
"weak","accommodative","adj","n","positive",,
"weak","accomplish","verb","y","positive",,
"weak","accomplishment","noun","n","positive",,
"weak","accomplishments","noun","n","positive",,
"weak","accord","verb","y","positive",,
"weak","accordance","noun","n","positive",,
"weak","accordantly","adverb","n","positive",,
"weak","accost","verb","y","negative",,
